,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
98,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 18:00:00+00:00,2018-12-30 11:00:00-07:00,no2,0.016,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
101,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 18:00:00+00:00,2018-12-30 11:00:00-07:00,no2,0.016,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
103,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 18:00:00+00:00,2018-12-30 11:00:00-07:00,no2,0.012,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
122,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 17:00:00+00:00,2018-12-30 10:00:00-07:00,no2,0.013000000000000001,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
123,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 17:00:00+00:00,2018-12-30 10:00:00-07:00,no2,0.019,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
124,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 17:00:00+00:00,2018-12-30 10:00:00-07:00,no2,0.017,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
127,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 16:00:00+00:00,2018-12-30 09:00:00-07:00,no2,0.031,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
131,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 16:00:00+00:00,2018-12-30 09:00:00-07:00,no2,0.015,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
138,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 16:00:00+00:00,2018-12-30 09:00:00-07:00,no2,0.009000000000000001,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
144,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 15:00:00+00:00,2018-12-30 08:00:00-07:00,no2,0.011000000000000001,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
147,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 15:00:00+00:00,2018-12-30 08:00:00-07:00,no2,0.022000000000000002,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
150,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 15:00:00+00:00,2018-12-30 08:00:00-07:00,no2,0.033,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
164,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 14:00:00+00:00,2018-12-30 07:00:00-07:00,no2,0.038,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
166,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 14:00:00+00:00,2018-12-30 07:00:00-07:00,no2,0.012,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
171,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 14:00:00+00:00,2018-12-30 07:00:00-07:00,no2,0.031,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
177,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 13:00:00+00:00,2018-12-30 06:00:00-07:00,no2,0.035,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
179,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 13:00:00+00:00,2018-12-30 06:00:00-07:00,no2,0.032,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
184,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 13:00:00+00:00,2018-12-30 06:00:00-07:00,no2,0.009000000000000001,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
192,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 12:00:00+00:00,2018-12-30 05:00:00-07:00,no2,0.013000000000000001,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
194,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 12:00:00+00:00,2018-12-30 05:00:00-07:00,no2,0.04,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
201,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 12:00:00+00:00,2018-12-30 05:00:00-07:00,no2,0.024,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
212,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 11:00:00+00:00,2018-12-30 04:00:00-07:00,no2,0.024,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
215,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 11:00:00+00:00,2018-12-30 04:00:00-07:00,no2,0.040999999999999995,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
218,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 11:00:00+00:00,2018-12-30 04:00:00-07:00,no2,0.013000000000000001,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
223,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 10:00:00+00:00,2018-12-30 03:00:00-07:00,no2,0.038,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
229,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 10:00:00+00:00,2018-12-30 03:00:00-07:00,no2,0.013999999999999999,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
233,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 10:00:00+00:00,2018-12-30 03:00:00-07:00,no2,0.040999999999999995,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
235,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 08:00:00+00:00,2018-12-30 01:00:00-07:00,no2,0.042,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
236,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 08:00:00+00:00,2018-12-30 01:00:00-07:00,no2,0.017,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
243,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 08:00:00+00:00,2018-12-30 01:00:00-07:00,no2,0.040999999999999995,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
255,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 07:00:00+00:00,2018-12-30 00:00:00-07:00,no2,0.039,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
